# NOTE: Make sure to set the default version in 'defaultVersion.txt' file
# version, gpg keys, SHA256
3.8.18, E3FF2839C048B25C084DEBE9B26995E310250568,
3.9.18, E3FF2839C048B25C084DEBE9B26995E310250568,
3.10.13, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.11.7, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.11.8, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.11.10, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.11.11, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.11.12, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.11.13, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.11.14, A035C8C19219BA821ECEA86B64E628F8D684696D,
3.12.1, 7169605F62C751356D054A26A821E680E5FA6305,
3.12.2, 7169605F62C751356D054A26A821E680E5FA6305,
3.12.6, 7169605F62C751356D054A26A821E680E5FA6305,
3.12.8, 7169605F62C751356D054A26A821E680E5FA6305,
3.12.9, 7169605F62C751356D054A26A821E680E5FA6305,
3.12.10, 7169605F62C751356D054A26A821E680E5FA6305,
3.12.11, 7169605F62C751356D054A26A821E680E5FA6305,
3.12.12, 7169605F62C751356D054A26A821E680E5FA6305,
3.13.1, 7169605F62C751356D054A26A821E680E5FA6305,
3.13.2, 7169605F62C751356D054A26A821E680E5FA6305,
3.13.3, 7169605F62C751356D054A26A821E680E5FA6305,
3.13.5, 7169605F62C751356D054A26A821E680E5FA6305,
3.13.8, 7169605F62C751356D054A26A821E680E5FA6305,
