# version, sha
1.14.15, c64a57b374a81f7cf1408d2c410a28c6f142414f1ffa9d1062de1d653b0ae0d6, 
1.15.15, 0885cf046a9f099e260d98d9ec5d19ea9328f34c8dc4956e1d3cd87daaddb345,
1.16.7, 7fe7a73f55ba3e2285da36f8b085e5c0159e9564ef5f63ee0ed6b818ade8ef04, 
1.17, 6bf89fc4f5ad763871cf7eac80a2d594492de7a818303283f1366a7f6a30372d, 
1.18, e85278e98f57cdb150fe8409e6e5df5343ecb13cebf03a5d5ff12bd55a80264f,
1.18.8, 4d854c7bad52d53470cf32f1b287a5c0c441dc6b98306dea27358e099698142a,
1.18.10, 5e05400e4c79ef5394424c0eff5b9141cb782da25f64f79d54c98af0a37f8d49,
1.19, 464b6b66591f6cf055bc5df90a9750bf5fbc9d038722bb84a9d56a2bea974be6,
1.19.3, 74b9640724fd4e6bb0ed2a1bc44ae813a03f1e72a4c76253e2d5c015494430ba,
1.19.5, 36519702ae2fd573c9869461990ae550c8c0d955cd28d2827a6b159fda81ff95,
1.19.7, 7a75720c9b066ae1750f6bcc7052aba70fa3813f4223199ee2a2315fd3eb533d,
1.20.14, ff445e48af27f93f66bd949ae060d97991c83e11289009d311f25426258f9c44,
1.21.13, 502fc16d5910562461e6a6631fb6377de2322aad7304bf2bcd23500ba9dab4a7,
1.22.6, 999805bed7d9039ec3da1a53bfbcafc13e367da52aa823cb60b68ba22d44c616,
1.23.0, 905a297f19ead44780548933e0ff1a1b86e8327bb459e92f9c0012569f76f5e
